"naziv","ISO_oznaka_drzave","puni_naziv","datum_ulaska_u_EU","povrsina_u_km2","broj_stanovnika","glavni_grad","himna","drzavni_vrh","ISO_oznaka_jezika","jezik","ISO_oznaka_valute","valuta"
"Austrija","AUT","Republika Austrija","1994-12-31T23:00:00.000Z",83879,8978929,"Beč","Zemljo brda, zemljo na rijekama","predsjednik Alexander Van der Bellen","de","njemački","EUR","euro"
"Belgija","BEL","Kraljevina Belgija","1957-12-31T23:00:00.000Z",30528,11631136,"Bruxelles","Pjesma o Brabantu","kralj Filip Leopold Lodewijk Maria","de","njemački","EUR","euro"
"Belgija","BEL","Kraljevina Belgija","1957-12-31T23:00:00.000Z",30528,11631136,"Bruxelles","Pjesma o Brabantu","kralj Filip Leopold Lodewijk Maria","fr","francuski","EUR","euro"
"Belgija","BEL","Kraljevina Belgija","1957-12-31T23:00:00.000Z",30528,11631136,"Bruxelles","Pjesma o Brabantu","kralj Filip Leopold Lodewijk Maria","nl","nizozemski","EUR","euro"
"Cipar","CYP","Republika Cipar","2004-04-30T22:00:00.000Z",9251,904705,"Nikozija","Himna slobodi","predsjednik Nikos Anastasiades","el","grčki","EUR","euro"
"Estonija","EST","Republika Estonija","2004-04-30T22:00:00.000Z",45227,1331796,"Tallinn","Moja domovina, moja sreća i radost","predsjednik Kersti Kaljulaid","et","estonski","EUR","euro"
"Finska","FIN","Republika Finska","1994-12-31T23:00:00.000Z",338440,5548241,"Helsinki","Naša zemlja","predsjednik Sauli Niinistö","fi","finski","EUR","euro"
"Finska","FIN","Republika Finska","1994-12-31T23:00:00.000Z",338440,5548241,"Helsinki","Naša zemlja","predsjednik Sauli Niinistö","sv","švedski","EUR","euro"
"Francuska","FRA","Francuska Republika","1957-12-31T23:00:00.000Z",633186,67842582,"Pariz","Marseljeza","predsjednik Emmanuel Macron","fr","francuski","EUR","euro"
"Grčka","GRC","Helenska Republika","1980-12-31T23:00:00.000Z",132049,10603810,"Atena","Himna slobodi","predsjednik Katerina Sakellaropoulou","el","grčki","EUR","euro"
"Irska","IRL","Irska","1972-12-31T23:00:00.000Z",69797,5060005,"Dublin","Vojnikova pjesma","predsjednik Michael Daniel Higgins","en","engleski","EUR","euro"
"Irska","IRL","Irska","1972-12-31T23:00:00.000Z",69797,5060005,"Dublin","Vojnikova pjesma","predsjednik Michael Daniel Higgins","ga","irski","EUR","euro"
"Italija","ITA","Talijanska Republika","1957-12-31T23:00:00.000Z",302073,58983122,"Rim","Pjev Talijana","predsjednik Sergio Mattarella","it","talijanski","EUR","euro"
"Latvija","LVA","Republika Latvija","2004-04-30T22:00:00.000Z",64573,1875757,"Riga","Bože, blagoslovi Latviju!","predsjednik Egils Levits","lv","latvijski","EUR","euro"
"Litva","LTU","Republika Litva","2004-04-30T22:00:00.000Z",65286,2805998,"Vilnius","Nacionalna himna","predsjednik Gitanas Nausėda","lt","litavski","EUR","euro"
"Luksemburg","LUX","Veliko Vojvodstvo Luksemburg","1957-12-31T23:00:00.000Z",2586,645397,"Luxembourg","Naša domovina","veliki vojvoda Henri Luksemburški","de","njemački","EUR","euro"
"Luksemburg","LUX","Veliko Vojvodstvo Luksemburg","1957-12-31T23:00:00.000Z",2586,645397,"Luxembourg","Naša domovina","veliki vojvoda Henri Luksemburški","fr","francuski","EUR","euro"
"Malta","MLT","Republika Malta","2004-04-30T22:00:00.000Z",315.4,520971,"Valletta","Malteška himna","predsjednik George Vella","en","engleski","EUR","euro"
"Malta","MLT","Republika Malta","2004-04-30T22:00:00.000Z",315.4,520971,"Valletta","Malteška himna","predsjednik George Vella","mt","malteški","EUR","euro"
"Nizozemska","NLD","Nizozemska","1957-12-31T23:00:00.000Z",41540,17590672,"Amsterdam","Wilhelmus","kralj Willem-Alexander","nl","nizozemski","EUR","euro"
"Njemačka","DEU","Savezna Republika Njemačka","1957-12-31T23:00:00.000Z",357376,83237124,"Berlin","Pjesma Nijemaca","predsjednik Frank-Walter Steinmeier","de","njemački","EUR","euro"
"Portugal","PRT","Portugalska Republika","1985-12-31T23:00:00.000Z",92226,10352042,"Lisabon","Portugalska","predsjednik Marcelo Rebelo de Sousa","pt","portugalski","EUR","euro"
"Slovačka","SVK","Slovačka Republika","2004-04-30T22:00:00.000Z",49035,5434712,"Bratislava","Nad Tatrama sijeva","predsjednik Zuzana Čaputová","sk","slovački","EUR","euro"
"Slovenija","SVN","Republika Slovenija","2004-04-30T22:00:00.000Z",20273,2107180,"Ljubljana","Zdravljica","predsjednik Borut Pahor","sl","slovenski","EUR","euro"
"Španjolska","ESP","Kraljevina Španjolska","1985-12-31T23:00:00.000Z",505944,47432805,"Madrid","Kraljevski marš","kralj Felipe VI.","es","španjolski","EUR","euro"